ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS
Alabama,Alabama,165.0
Alabama,Arizona,808.0
Alabama,Arkansas,8.0
Alabama,California,262.0
Alabama,Colorado,1876.0
Alabama,Connecticut,1.0
Alabama,Florida,3405.0
Alabama,Georgia,16457.0
Alabama,Hawaii,2.0
Alabama,Idaho,11.0
Alabama,Illinois,2858.0
Alabama,Indiana,5.0
Alabama,Kansas,2.0
Alabama,Kentucky,1566.0
Alabama,Louisiana,1010.0
Alabama,Maryland,1944.0
Alabama,Massachusetts,63.0
Alabama,Michigan,1797.0
Alabama,Minnesota,37.0
Alabama,Mississippi,40.0
Alabama,Missouri,580.0
Alabama,Nebraska,15.0
Alabama,Nevada,1213.0
Alabama,New Jersey,4.0
Alabama,New Mexico,81.0
Alabama,New York,618.0
Alabama,North Carolina,5897.0
Alabama,Ohio,90.0
Alabama,Oklahoma,5.0
Alabama,Oregon,6.0
Alabama,Pennsylvania,453.0
Alabama,Rhode Island,27.0
Alabama,South Carolina,15.0
Alabama,Tennessee,4472.0
Alabama,Texas,13193.0
Alabama,Utah,84.0
Alabama,Virginia,2045.0
Alabama,Washington,25.0
Alabama,Wisconsin,2.0
Alaska,Alaska,33995.0
Alaska,Arizona,1222.0
Alaska,California,1729.0
Alaska,Colorado,1667.0
Alaska,Florida,1.0
Alaska,Georgia,1177.0
Alaska,Hawaii,659.0
Alaska,Idaho,1.0
Alaska,Illinois,1956.0
Alaska,Maryland,15.0
Alaska,Massachusetts,4.0
Alaska,Michigan,583.0
Alaska,Minnesota,6054.0
Alaska,Nebraska,2.0
Alaska,Nevada,40.0
Alaska,New Jersey,303.0
Alaska,New Mexico,7.0
Alaska,Ohio,2.0
Alaska,Oregon,2989.0
Alaska,Pennsylvania,1.0
Alaska,Texas,2899.0
Alaska,Utah,2288.0
Alaska,Washington,32328.0
Alaska,Wisconsin,1.0
Arizona,Alabama,1011.0
Arizona,Alaska,1114.0
Arizona,Arizona,15723.0
Arizona,Arkansas,436.0
Arizona,California,125239.0
Arizona,Colorado,27125.0
Arizona,Connecticut,134.0
Arizona,Florida,8012.0
Arizona,Georgia,15655.0
Arizona,Hawaii,11322.0
Arizona,Idaho,1820.0
Arizona,Illinois,24181.0
Arizona,Indiana,3550.0
Arizona,Iowa,1734.0
Arizona,Kansas,717.0
Arizona,Kentucky,2197.0
Arizona,Louisiana,1002.0
Arizona,Maine,2.0
Arizona,Maryland,5584.0
Arizona,Massachusetts,3232.0
Arizona,Michigan,9610.0
Arizona,Minnesota,12407.0
Arizona,Missouri,10756.0
Arizona,Montana,1098.0
Arizona,Nebraska,3652.0
Arizona,Nevada,26501.0
Arizona,New Hampshire,1093.0
Arizona,New Jersey,7919.0
Arizona,New Mexico,10840.0
Arizona,New York,7901.0
Arizona,North Carolina,12582.0
Arizona,North Dakota,810.0
Arizona,Ohio,5293.0
Arizona,Oklahoma,3659.0
Arizona,Oregon,11544.0
Arizona,Pennsylvania,13990.0
Arizona,Puerto Rico,1.0
Arizona,Rhode Island,1082.0
Arizona,South Carolina,20.0
Arizona,South Dakota,822.0
Arizona,Tennessee,4549.0
Arizona,Texas,52743.0
Arizona,Utah,14218.0
Arizona,Vermont,1.0
Arizona,Virginia,5165.0
Arizona,Washington,16851.0
Arizona,Wisconsin,3784.0
Arizona,Wyoming,3.0
Arkansas,Alabama,4.0
Arkansas,Arizona,334.0
Arkansas,Arkansas,84.0
Arkansas,California,558.0
Arkansas,Colorado,2306.0
Arkansas,Florida,29.0
Arkansas,Georgia,5099.0
Arkansas,Illinois,4798.0
Arkansas,Indiana,1.0
Arkansas,Iowa,1.0
Arkansas,Kansas,3.0
Arkansas,Kentucky,1026.0
Arkansas,Louisiana,18.0
Arkansas,Maryland,622.0
Arkansas,Massachusetts,8.0
Arkansas,Michigan,666.0
Arkansas,Minnesota,466.0
Arkansas,Mississippi,9.0
Arkansas,Missouri,1537.0
Arkansas,Nebraska,2.0
Arkansas,Nevada,1164.0
Arkansas,New Hampshire,1.0
Arkansas,New Jersey,576.0
Arkansas,New Mexico,31.0
Arkansas,New York,373.0
Arkansas,North Carolina,2296.0
Arkansas,Ohio,52.0
Arkansas,Oklahoma,52.0
Arkansas,Oregon,6.0
Arkansas,Pennsylvania,18.0
Arkansas,Rhode Island,3.0
Arkansas,South Carolina,5.0
Arkansas,Tennessee,3746.0
Arkansas,Texas,17792.0
Arkansas,Virginia,24.0
Arkansas,Washington,6.0
California,Alabama,159.0
California,Alaska,1778.0
California,Arizona,124365.0
California,Arkansas,533.0
California,California,470203.0
California,Colorado,101844.0
California,Connecticut,291.0
California,Florida,21501.0
California,Georgia,50743.0
California,Hawaii,73389.0
California,Idaho,5370.0
California,Illinois,85437.0
California,Indiana,1316.0
California,Iowa,327.0
California,Kansas,367.0
California,Kentucky,7416.0
California,Louisiana,2774.0
California,Maine,2.0
California,Maryland,10279.0
California,Massachusetts,33547.0
California,Michigan,16801.0
California,Minnesota,34820.0
California,Mississippi,4.0
California,Missouri,16840.0
California,Montana,748.0
California,Nebraska,458.0
California,Nevada,124968.0
California,New Hampshire,224.0
California,New Jersey,27417.0
California,New Mexico,10060.0
California,New York,73792.0
California,North Carolina,15179.0
California,North Dakota,333.0
California,Ohio,7134.0
California,Oklahoma,1559.0
California,Oregon,55069.0
California,Pennsylvania,20176.0
California,Puerto Rico,558.0
California,Rhode Island,339.0
California,South Carolina,3.0
California,South Dakota,354.0
