ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS
Alabama,Alabama,206.0
Alabama,Arizona,756.0
Alabama,Arkansas,1.0
Alabama,California,298.0
Alabama,Colorado,1779.0
Alabama,Connecticut,17.0
Alabama,Florida,4801.0
Alabama,Georgia,15915.0
Alabama,Illinois,3204.0
Alabama,Indiana,8.0
Alabama,Iowa,9.0
Alabama,Kentucky,851.0
Alabama,Louisiana,1009.0
Alabama,Maine,16.0
Alabama,Maryland,3244.0
Alabama,Massachusetts,1.0
Alabama,Michigan,1862.0
Alabama,Minnesota,423.0
Alabama,Mississippi,56.0
Alabama,Missouri,870.0
Alabama,Nebraska,23.0
Alabama,Nevada,1034.0
Alabama,New Hampshire,34.0
Alabama,New Jersey,11.0
Alabama,New Mexico,120.0
Alabama,New York,561.0
Alabama,North Carolina,6862.0
Alabama,Ohio,35.0
Alabama,Oklahoma,12.0
Alabama,Oregon,9.0
Alabama,Pennsylvania,383.0
Alabama,South Carolina,7.0
Alabama,Tennessee,4403.0
Alabama,Texas,13398.0
Alabama,Utah,58.0
Alabama,Virginia,1951.0
Alabama,Washington,14.0
Alabama,West Virginia,3.0
Alabama,Wisconsin,1.0
Alaska,Alaska,36563.0
Alaska,Arizona,1173.0
Alaska,California,2520.0
Alaska,Colorado,2963.0
Alaska,Florida,3.0
Alaska,Georgia,1247.0
Alaska,Hawaii,560.0
Alaska,Illinois,3798.0
Alaska,Kentucky,1.0
Alaska,Michigan,606.0
Alaska,Minnesota,5830.0
Alaska,Missouri,2.0
Alaska,Montana,4.0
Alaska,Nevada,18.0
Alaska,New Jersey,372.0
Alaska,New York,26.0
Alaska,Ohio,6.0
Alaska,Oregon,3201.0
Alaska,Pennsylvania,972.0
Alaska,Texas,2961.0
Alaska,Utah,2441.0
Alaska,Virginia,7.0
Alaska,Washington,30020.0
Arizona,Alabama,999.0
Arizona,Alaska,1105.0
Arizona,Arizona,15999.0
Arizona,Arkansas,1057.0
Arizona,California,122298.0
Arizona,Colorado,24920.0
Arizona,Connecticut,28.0
Arizona,Florida,7736.0
Arizona,Georgia,15286.0
Arizona,Hawaii,11348.0
Arizona,Idaho,1731.0
Arizona,Illinois,23737.0
Arizona,Indiana,3822.0
Arizona,Iowa,1721.0
Arizona,Kansas,303.0
Arizona,Kentucky,2148.0
Arizona,Louisiana,959.0
Arizona,Maine,1.0
Arizona,Maryland,5337.0
Arizona,Massachusetts,3946.0
Arizona,Michigan,9431.0
Arizona,Minnesota,12940.0
Arizona,Mississippi,18.0
Arizona,Missouri,11431.0
Arizona,Montana,1413.0
Arizona,Nebraska,3979.0
Arizona,Nevada,26401.0
Arizona,New Hampshire,1016.0
Arizona,New Jersey,7209.0
Arizona,New Mexico,10296.0
Arizona,New York,7187.0
Arizona,North Carolina,12168.0
Arizona,North Dakota,1321.0
Arizona,Ohio,4319.0
Arizona,Oklahoma,3608.0
Arizona,Oregon,10920.0
Arizona,Pennsylvania,12756.0
Arizona,Puerto Rico,1.0
Arizona,Rhode Island,1117.0
Arizona,South Carolina,1.0
Arizona,South Dakota,1064.0
Arizona,Tennessee,5134.0
Arizona,Texas,51474.0
Arizona,Utah,14869.0
Arizona,Virginia,4754.0
Arizona,Washington,16863.0
Arizona,Wisconsin,4583.0
Arizona,Wyoming,26.0
Arkansas,Alabama,14.0
Arkansas,Arizona,892.0
Arkansas,Arkansas,88.0
Arkansas,California,536.0
Arkansas,Colorado,1764.0
Arkansas,Connecticut,17.0
Arkansas,Florida,435.0
Arkansas,Georgia,5176.0
Arkansas,Illinois,5245.0
Arkansas,Indiana,4.0
Arkansas,Iowa,1.0
Arkansas,Kansas,2.0
Arkansas,Kentucky,617.0
Arkansas,Louisiana,50.0
Arkansas,Maryland,628.0
Arkansas,Massachusetts,5.0
Arkansas,Michigan,1227.0
Arkansas,Minnesota,593.0
Arkansas,Mississippi,9.0
Arkansas,Missouri,1388.0
Arkansas,Nebraska,6.0
Arkansas,Nevada,1269.0
Arkansas,New Hampshire,7.0
Arkansas,New Jersey,506.0
Arkansas,New York,300.0
Arkansas,North Carolina,2819.0
Arkansas,Ohio,10.0
Arkansas,Oklahoma,45.0
Arkansas,Oregon,2.0
Arkansas,Pennsylvania,14.0
Arkansas,Rhode Island,2.0
Arkansas,South Carolina,2.0
Arkansas,South Dakota,3.0
Arkansas,Tennessee,3336.0
Arkansas,Texas,16693.0
Arkansas,Virginia,50.0
Arkansas,Washington,1.0
Arkansas,West Virginia,2.0
Arkansas,Wisconsin,3.0
California,Alabama,270.0
California,Alaska,2294.0
California,Arizona,121838.0
California,Arkansas,508.0
California,California,462723.0
California,Colorado,107613.0
California,Connecticut,1203.0
California,Florida,24902.0
California,Georgia,55169.0
California,Hawaii,85768.0
California,Idaho,5568.0
California,Illinois,90278.0
California,Indiana,1698.0
California,Iowa,364.0
California,Kansas,405.0
California,Kentucky,6576.0
California,Louisiana,2643.0
California,Maine,47.0
California,Maryland,9900.0
California,Massachusetts,29343.0
California,Michigan,18887.0
California,Minnesota,31706.0
California,Mississippi,80.0
California,Missouri,15776.0
California,Montana,1781.0
California,Nebraska,379.0
California,Nevada,116283.0
California,New Hampshire,238.0
California,New Jersey,25732.0
California,New Mexico,10347.0
California,New York,71464.0
California,North Carolina,16444.0
California,North Dakota,315.0
California,Ohio,7915.0
California,Oklahoma,1900.0
California,Oregon,54691.0
California,Pennsylvania,22583.0
California,Puerto Rico,622.0
California,Rhode Island,287.0
California,South Carolina,5.0
California,South Dakota,382.0
California,Tennessee,10864.0
California,Texas,149265.0
California,Utah,48040.0
California,Vermont,1.0
California,Virginia,39442.0
California,Washington,100337.0
California,Wisconsin,9381.0
California,Wyoming,221.0
Colorado,Alabama,1761.0
Colorado,Alaska,2697.0
Colorado,Arizona,26691.0
Colorado,Arkansas,1808.0
Colorado,California,109877.0
Colorado,Colorado,47867.0
Colorado,Connecticut,1176.0
Colorado,Florida,19044.0
Colorado,Georgia,19790.0
Colorado,Hawaii,2781.0
Colorado,Idaho,7535.0
Colorado,Illinois,36078.0
Colorado,Indiana,7173.0
Colorado,Iowa,4354.0
Colorado,Kansas,3612.0
Colorado,Kentucky,4399.0
Colorado,Louisiana,5251.0
Colorado,Maine,1.0
Colorado,Maryland,8741.0
Colorado,Massachusetts,10436.0
Colorado,Michigan,12253.0
Colorado,Minnesota,20884.0
Colorado,Mississippi,1.0
Colorado,Missouri,23078.0
Colorado,Montana,11163.0
Colorado,Nebraska,10611.0
Colorado,Nevada,26582.0
Colorado,New Hampshire,37.0
Colorado,New Jersey,6479.0
Colorado,New Mexico,6797.0
Colorado,New York,12599.0
Colorado,North Carolina,8131.0
Colorado,North Dakota,3410.0
Colorado,Ohio,9813.0
Colorado,Oklahoma,10584.0
Colorado,Oregon,17613.0
Colorado,Pennsylvania,12735.0
Colorado,South Dakota,5156.0
Colorado,Tennessee,8879.0
Colorado,Texas,62908.0
Colorado,Utah,18508.0
Colorado,Vermont,1.0
Colorado,Virginia,19510.0
Colorado,Washington,26753.0
Colorado,Wisconsin,10150.0
Colorado,Wyoming,7816.0
Connecticut,Alabama,12.0
Connecticut,Arizona,146.0
Connecticut,Arkansas,6.0
Connecticut,California,1194.0
Connecticut,Colorado,1274.0
Connecticut,Connecticut,20.0
Connecticut,Florida,7742.0
Connecticut,Georgia,5853.0
Connecticut,Illinois,9345.0
Connecticut,Indiana,56.0
Connecticut,Iowa,2.0
Connecticut,Kansas,1.0
Connecticut,Kentucky,1291.0
Connecticut,Louisiana,19.0
Connecticut,Maine,33.0
Connecticut,Maryland,7144.0
Connecticut,Massachusetts,233.0
Connecticut,Michigan,3716.0
Connecticut,Minnesota,3157.0
Connecticut,Mississippi,9.0
Connecticut,Missouri,174.0
Connecticut,Montana,19.0
Connecticut,Nebraska,23.0
Connecticut,Nevada,1230.0
Connecticut,New Hampshire,39.0
Connecticut,New Jersey,828.0
Connecticut,New Mexico,5.0
Connecticut,New York,772.0
Connecticut,North Carolina,6611.0
Connecticut,Ohio,1325.0
Connecticut,Oklahoma,2.0
Connecticut,Oregon,40.0
Connecticut,Pennsylvania,6527.0
Connecticut,Puerto Rico,1035.0
Connecticut,Rhode Island,75.0
Connecticut,South Carolina,24.0
Connecticut,Tennessee,908.0
Connecticut,Texas,3878.0
Connecticut,Vermont,7.0
Connecticut,Virginia,5702.0
Connecticut,Washington,61.0
Connecticut,Wisconsin,21.0
Connecticut,Wyoming,18.0
Florida,Alabama,4664.0
Florida,Alaska,29.0
Florida,Arizona,8166.0
Florida,Arkansas,424.0
Florida,California,24652.0
Florida,Colorado,18788.0
Florida,Connecticut,8010.0
Florida,Florida,70653.0
Florida,Georgia,160945.0
Florida,Hawaii,1.0
Florida,Idaho,57.0
Florida,Illinois,54336.0
Florida,Indiana,10697.0
Florida,Iowa,1636.0
Florida,Kansas,84.0
Florida,Kentucky,13032.0
Florida,Louisiana,7954.0
Florida,Maine,1040.0
Florida,Maryland,38778.0
Florida,Massachusetts,24789.0
Florida,Michigan,34949.0
Florida,Minnesota,12810.0
Florida,Mississippi,1026.0
Florida,Missouri,17177.0
Florida,Montana,13.0
Florida,Nebraska,421.0
Florida,Nevada,12512.0
Florida,New Hampshire,5259.0
Florida,New Jersey,54659.0
Florida,New Mexico,1311.0
Florida,New York,137934.0
Florida,North Carolina,69059.0
Florida,North Dakota,160.0
Florida,Ohio,18687.0
Florida,Oklahoma,280.0
Florida,Oregon,63.0
Florida,Pennsylvania,57705.0
Florida,Puerto Rico,31131.0
Florida,Rhode Island,9187.0
Florida,South Carolina,3576.0
Florida,South Dakota,162.0
Florida,Tennessee,30982.0
Florida,Texas,96876.0
Florida,U.S. Virgin Islands,4922.0
Florida,Utah,3287.0
Florida,Vermont,775.0
Florida,Virginia,52910.0
Florida,Washington,3680.0
Florida,West Virginia,1874.0
Florida,Wisconsin,7804.0
Florida,Wyoming,4.0
Georgia,Alabama,16037.0
Georgia,Alaska,1363.0
Georgia,Arizona,15087.0
Georgia,Arkansas,5207.0
Georgia,California,54513.0
Georgia,Colorado,20130.0
Georgia,Connecticut,5772.0
Georgia,Florida,160475.0
Georgia,Georgia,28756.0
Georgia,Hawaii,2357.0
Georgia,Illinois,33417.0
Georgia,Indiana,11498.0
Georgia,Iowa,1223.0
Georgia,Kansas,3933.0
Georgia,Kentucky,11666.0
Georgia,Louisiana,18475.0
Georgia,Maine,3350.0
